,Lat,Lng,City,temperature,humidity,cloudiness,windSpeed
144,-84.99918202078605,79.19805978802373,busselton,287.171,100.0,92.0,4.46
145,1.6133028576659285,-156.44241696612465,hilo,300.02,65.0,90.0,4.1
146,39.855375726925985,81.32099474025591,aksu,285.15,81.0,0.0,5.0
147,-89.65864680182482,-90.1892501968436,ushuaia,274.15,64.0,0.0,2.6
148,-66.00276614412694,129.7340137737445,new norfolk,283.15,81.0,90.0,3.6
149,76.52183600637235,-39.637117352811316,tasiilaq,280.621,95.0,12.0,0.86
150,78.08608596163629,95.1397303636029,khatanga,287.621,81.0,44.0,6.81
151,-69.2750855752681,-75.74182414232601,ushuaia,274.15,64.0,0.0,2.6
152,-23.45810463100119,-98.89854564348968,puerto ayora,296.15,69.0,40.0,8.7
153,77.26773571318805,119.90500309656016,saskylakh,287.171,71.0,0.0,6.11
154,11.163930069372213,-147.6428441887805,hilo,300.02,65.0,90.0,4.1
155,-55.757949020463265,14.636279434024317,hermanus,282.921,85.0,24.0,4.06
156,64.1418911439817,103.97527407377714,tura,296.471,99.0,92.0,1.76
158,-65.51114139171783,-40.42593579789363,ushuaia,274.15,64.0,0.0,2.6
159,-50.25267345353188,34.61525624653822,port alfred,284.721,100.0,0.0,2.81
160,-49.89732848596845,-99.52821121234341,castro,282.021,99.0,92.0,1.66
161,17.125940783351382,39.98118188788325,ginda,288.971,100.0,100.0,0.71
162,43.387273869509755,-134.61389814018744,port hardy,291.15,72.0,75.0,4.6
163,-30.556215076057725,171.11856022020856,ahipara,286.571,98.0,32.0,3.56
164,-58.75207741611894,-29.737103097499613,chuy,281.921,90.0,0.0,2.06
165,-66.21828922270336,-47.915697543388006,ushuaia,274.15,64.0,0.0,2.6
166,-42.703294353536705,118.33718359928275,albany,298.84,62.0,20.0,2.1
167,-31.990752538304214,71.7406518669643,bambous virieux,293.15,60.0,20.0,4.1
168,47.2380455574054,-146.82902737387252,kodiak,306.15,43.0,1.0,6.2
170,-82.06002024929158,75.32488870786321,busselton,287.171,100.0,92.0,4.46
171,49.1587068558662,-79.83756383456372,la sarre,298.471,60.0,12.0,4.11
172,84.67633554634986,109.032067488226,saskylakh,287.171,71.0,0.0,6.11
173,-63.41962217765756,-159.24391442510563,mataura,281.271,88.0,20.0,2.01
174,41.9585801660175,-92.39505974447643,grinnell,299.0,88.0,40.0,4.1
175,17.3206899123778,-87.1133369946678,san pedro,283.821,75.0,20.0,4.36
177,54.722280232699745,-114.90839575997765,slave lake,296.15,69.0,1.0,2.1
178,-77.56796020689185,126.57043212124398,new norfolk,283.15,81.0,90.0,3.6
179,16.538406319575017,-70.82008750961417,barahona,301.171,98.0,12.0,7.86
